month_year,MARCA,MODELO,MERCANCÍA,UNIDAD COMERCIAL,US$ CIF,CANTIDAD COMERCIAL
2025-03,METARIS,S24-10352,"KIT DE SELLO, METARIS, S24-10352",KIT,728.76,20.0
2025-03,METARIS,S24-26387,"KIT DE SELLO, METARIS, S24-26387",KIT,364.49,5.0
2025-03,VULKAN,M14,"ARANDELA, VULKAN, M14",UNIDAD,411.4,32.0
2025-03,VULKAN,M14,"TUERCA HEX M14, VULKAN, M14",UNIDAD,218.29,32.0
2025-03,VULKAN,M14 X 75,"PERNO HEXAGONAL M14, VULKAN, M14 X 75",UNIDAD,688.46,32.0
2025-03,VULKAN,M22,"ARANDELA M22, VULKAN, M22",UNIDAD,491.16,24.0
2025-03,VULKAN,M22,"PERNO HEXAGONAL M22, VULKAN, M22",UNIDAD,1038.98,24.0
2025-03,VULKAN,M22,"TUERCA HEX  M22, VULKAN, M22",UNIDAD,365.22,24.0
2025-03,VULKAN,RATO R,"Membrana ensamble, VULKAN, RATO R",UNIDAD,7369.1,1.0
2025-04,VULKAN,VL 3018,"ELEMENTO DE ACOPLE, VULKAN, VL 3018",UNIDAD,3141.14,1.0
2025-05,CHAR LYNN,61237,"KIT DE SELLOS, CHAR LYNN, 61237",UNIDAD,27.52,1.0
2025-05,CHAR LYNN,112-1068,"MOTOR OLEOHIDRAULICO, CHAR LYNN, 112-1068",UNIDAD,1720.12,2.0
2025-05,INTERMOT,RM4-1000,"MOTOR OLEOHIDRAULICO, INTERMOT, RM4-1000",UNIDAD,1438.74,1.0
2025-05,INTERMOT,RM5-1300,"MOTOR OLEOHIDRAULICO, INTERMOT, RM5-1300",UNIDAD,2324.12,1.0
2025-05,SAI,112-1066,"MOTORES OLEOHIDRAULICOS, SAI, 112-1066",UNIDAD,1449.56,2.0
2025-05,SAI,1SA0010,"EJES, SAI, S/M",UNIDAD,6397.51,8.0
2025-05,SAI,61258-000,"KIT DE SELLOS, SAI, S/M",UNIDAD,457.15,12.0
2025-05,SAI,D90,"DISTRIBUIDORES, SAI, D90",UNIDAD,1664.04,5.0
2025-05,SAI,GM3,"MOTORES OLEOHIDRAULICOS, SAI, GM3",UNIDAD,5622.99,2.0
2025-05,SAI,GM5A,"MOTORES OLEOHIDRAULICOS, SAI, GM5A",UNIDAD,7733.48,2.0
2025-05,SAI,GS4,"KIT DE SELLOS, SAI, GS4",UNIDAD,7688.4,6.0
2025-05,VULKAN,RATO S,"ELEMENTO DE ACOPLE, VULKAN, RATO S",UNIDAD,11056.98,1.0
